posicao,team_name,country_code,probabilidade,probabilidade_pct
1,Argentina,ARG,0.7937408883756417,79.37
2,Spain,ESP,0.7935669667909286,79.36
3,England,ENG,0.787211817018297,78.72
4,France,FRA,0.7483384014908726,74.83
5,Brazil,BRA,0.7240002329775254,72.4
6,Croatia,CRO,0.6585833570938519,65.86
7,Morocco,MAR,0.6396904861535969,63.97
8,Netherlands,NED,0.6376085985104906,63.76
9,Portugal,POR,0.6334926629975682,63.35
10,USA,USA,0.6272249473660254,62.72
11,Colombia,COL,0.604836594433655,60.48
12,Germany,DEU,0.5892054472103365,58.92
13,Belgium,BEL,0.58446697425375,58.45
14,Uruguay,URU,0.5800406292851233,58.0
15,Italy,ITA,0.5718049382528537,57.18
16,Mexico,MEX,0.5517985051996853,55.18
17,Japan,JPN,0.5431735445462286,54.32
18,Austria,AUT,0.4520660411330144,45.21
19,Switzerland,SUI,0.4460438795615358,44.6
20,Australia,AUS,0.4314489354375164,43.14
21,Senegal,SEN,0.4212432859920651,42.12
22,Canada,CAN,0.4201031699732617,42.01
23,Denmark,DEN,0.41025248567496364,41.03
24,Ecuador,ECU,0.40973236143610414,40.97
25,South Korea,KOR,0.40813775319557394,40.81
26,Poland,POL,0.3825177385427799,38.25
27,Sweden,SWE,0.38019546786086716,38.02
28,Ukraine,UKR,0.34559286245111676,34.56
29,Serbia,SRB,0.33880007538195356,33.88
30,Saudi Arabia,KSA,0.3189276331606632,31.89
31,China,CHN,0.3070489997130914,30.7
32,Tunisia,TUN,0.29541847218341355,29.54
33,Honduras,HON,0.29232214480979557,29.23
34,Egypt,EGY,0.2839105098030725,28.39
35,Ghana,GHA,0.2724523810937519,27.25
36,Nigeria,NGA,0.272046473289425,27.2
37,Costa Rica,CRC,0.26627934756750105,26.63
38,Cameroon,CMR,0.2640954191542928,26.41
39,Jamaica,JAM,0.263275319898525,26.33
40,Algeria,ALG,0.25219661805233307,25.22
41,Iran,IRN,0.24603728723784118,24.6
42,Peru,PER,0.2421537358617776,24.22
43,Turkey,TUR,0.24019440139226755,24.02
44,New Zealand,NZL,0.23834112270958252,23.83
45,Paraguay,PAR,0.2350650866228975,23.51
46,Qatar,QAT,0.22723114844362222,22.72
47,Wales,WAL,0.19268401565169116,19.27
